# U lam_1 lam_2 lam_3 lam_4 lam_5 lam_6 lam_7 lam_8 lam_9 lam_10 lam_11 lam_12 lam_13 lam_14 lam_15 lam_16 lam_17 lam_18 lam_19 lam_20
1.000000000000000000e+00 1.769500551600115129e-02 2.370236623483339827e-02 2.479528870296010545e-02 2.583063137512624924e-02 2.652230324942436365e-02 3.054366052495728276e-02 3.295968875470193377e-02 3.521666382415685609e-02 4.043075396099117536e-02 4.066703220136032304e-02 4.134980886670178851e-02 4.372560430234685019e-02 4.442406540521599834e-02 4.540638177465518288e-02 4.753785371076415384e-02 4.856601832924637568e-02 4.904018484207970513e-02 5.737532626378444300e-02 5.821830845088957901e-02 6.808824659296222603e-02
1.473684210526315708e+00 1.636167626690551366e-02 2.878852409206793597e-02 3.673155020843420909e-02 4.307366276256720944e-02 4.406374952498783720e-02 4.482779386848285280e-02 5.179456891103311617e-02 5.308727770683473179e-02 5.605478531117095986e-02 5.906981504992638715e-02 6.599547049702828017e-02 6.635320083992993223e-02 6.821602941257735864e-02 7.175854459577812872e-02 7.236949310114029754e-02 7.443237823955470289e-02 8.098158865977357623e-02 8.383446079948374263e-02 8.850576036269028335e-02 9.122675771863793248e-02
1.947368421052631415e+00 3.930063828234733186e-02 5.517949999487218454e-02 6.047730061633663223e-02 7.730724180560374914e-02 8.544637444902729306e-02 9.352280324189628236e-02 9.365539358137624226e-02 9.503563464203972078e-02 9.891610680718265769e-02 9.958878837761203640e-02 1.025065237614440072e-01 1.045731385532796959e-01 1.106241798896052536e-01 1.207137264717329656e-01 1.213236970165308543e-01 1.254959067642364978e-01 1.360428504901591840e-01 1.414323477945064744e-01 1.498665988734493859e-01 2.092226476640775268e-01
2.421052631578947345e+00 8.201463165186637094e-02 8.302685540810220144e-02 8.370784956129807830e-02 9.401523515107609863e-02 9.656191969890319526e-02 1.078336627400885150e-01 1.251341007283927054e-01 1.292152195352893052e-01 1.322229851223716279e-01 1.326428470400290993e-01 1.345666670988625024e-01 1.390195468852914451e-01 1.463248124839653663e-01 1.501180295367442186e-01 1.583432451038779276e-01 1.589985639821159813e-01 1.682900844670584262e-01 1.695465182995155307e-01 2.190614516470583972e-01 2.712345423894072516e-01
2.894736842105262831e+00 1.116870187516024321e-01 1.325014397562061796e-01 1.360099707407051162e-01 1.492533133603643480e-01 1.550079217089364303e-01 1.567413519038068082e-01 1.580324880064489790e-01 1.587808772327317375e-01 1.655870875224773053e-01 2.020607469015101298e-01 2.152843270966263711e-01 2.182064838469494339e-01 2.273223525179518256e-01 2.362810348775874481e-01 2.389699709534023053e-01 2.425341011209835307e-01 2.713451283931684888e-01 3.311455003203768732e-01 3.536591883127994107e-01 4.110112110116908024e-01
3.368421052631578760e+00 1.335968558892729197e-01 1.451307561351697917e-01 1.786902345964184180e-01 1.971648802562727676e-01 1.991242889558152984e-01 2.207703273343413763e-01 2.388669189264057136e-01 2.554177597819621837e-01 2.607427172106530633e-01 2.814371502906258260e-01 2.984884464269813575e-01 3.139604194038562168e-01 3.301849651929152918e-01 3.317459085219939263e-01 3.424368044820818024e-01 3.618755749782925912e-01 3.769608214859409556e-01 4.238760667900317580e-01 4.270920082649607430e-01 5.041888973087464976e-01
3.842105263157894690e+00 1.912945673379724543e-01 2.133922555324628545e-01 2.601624734284067042e-01 2.847432412198824259e-01 2.863130290093962027e-01 2.865225624565126417e-01 3.306601940317199229e-01 3.416961094423591749e-01 3.656092599568304125e-01 3.940319695528354815e-01 4.005328653711112130e-01 4.333004946884955189e-01 4.509304621413549041e-01 4.586182068536671652e-01 4.785063426312426427e-01 5.461993793268808961e-01 5.660013236912645462e-01 5.707650083338849933e-01 6.450069757706986540e-01 7.379274442142270685e-01
4.315789473684210620e+00 3.725588270189906237e-01 3.804090849949930964e-01 4.089078598357378524e-01 4.653388837565048397e-01 4.895577788938108577e-01 4.960773591246814829e-01 5.289817147739710457e-01 5.585365866593816619e-01 5.783876206526524788e-01 5.917017786809780633e-01 6.105158089894179296e-01 6.173724966115820001e-01 6.518033471410789037e-01 7.005442923565949886e-01 7.559184284110412877e-01 7.617409887601026552e-01 8.111617218815452279e-01 1.034487778179403739e+00 1.039002469391856698e+00 1.333106444023036241e+00
4.789473684210525661e+00 8.509373977421419433e-01 9.700481057467407187e-01 1.132408420711887187e+00 1.135450352691131481e+00 1.253628385795690914e+00 1.509414408278807018e+00 1.538839455850378846e+00 1.632974736976548158e+00 1.738404963120538271e+00 1.755726289014345909e+00 1.784066182446059301e+00 2.072303672942839015e+00 2.105115897453784246e+00 2.151185977329184151e+00 2.572808596246081603e+00 2.610061941125290552e+00 2.813635746629224332e+00 3.842636031880688918e+00 4.655264002204297036e+00 5.659520326901069431e+00
5.263157894736841591e+00 2.159378868278573282e+00 2.283819975037220118e+00 2.424813571367588683e+00 2.493353787067165594e+00 2.511356409849002436e+00 2.706148112889140922e+00 2.734897968892601394e+00 3.456138914717330923e+00 3.688027333273610431e+00 3.825195486597212646e+00 4.018632589108427133e+00 4.208649348311894300e+00 4.627141502070556633e+00 5.227713331985674117e+00 5.334877267470916173e+00 5.526420135264412004e+00 5.818605931875743487e+00 6.122399743640446701e+00 7.047651072926496063e+00 8.556756522046427449e+00
5.736842105263157521e+00 2.902126852864594930e+00 3.165679042736977422e+00 3.460851677067302123e+00 3.600142382471221314e+00 3.710856133528904532e+00 3.807361357524645662e+00 3.947870675404676621e+00 3.998443941944270108e+00 4.106800131759895223e+00 4.110549453125524444e+00 4.336718561500334523e+00 4.534878941939922470e+00 4.705942225964706793e+00 4.805194962651847312e+00 5.090778792019056809e+00 5.111189463252624243e+00 5.591912477955053085e+00 6.121283072136215253e+00 7.625095162797824067e+00 8.020001333697155843e+00
6.210526315789473450e+00 2.370273056516736254e+00 5.050130277867251216e+00 5.087852043153487713e+00 5.151425156305652564e+00 5.207790794365945608e+00 5.261521627962804537e+00 5.340392671827197901e+00 6.293095154566881178e+00 6.888246742807937473e+00 7.247185083396555427e+00 7.462974881027086838e+00 8.147195082681777833e+00 8.464264306841585039e+00 9.181560695586652443e+00 9.679907720966482998e+00 9.965048455491285040e+00 1.171117195148779366e+01 1.255401021557125674e+01 1.350149888870168624e+01 1.736916936326210958e+01
