# U lam_1 lam_2 lam_3 lam_4 lam_5 lam_6 lam_7 lam_8 lam_9 lam_10 lam_11 lam_12 lam_13 lam_14 lam_15 lam_16 lam_17 lam_18 lam_19 lam_20 lam_21 lam_22 lam_23 lam_24 lam_25
1.000000000000000000e+00 1.254454652918696698e-02 1.275623381021782736e-02 1.538027706126802313e-02 2.107435720534153387e-02 2.196365662243056349e-02 2.261240234287241815e-02 2.300677669281683824e-02 2.359801636794447641e-02 2.455259388733716658e-02 2.916524437932301039e-02 2.938498669820627240e-02 3.082330032899605055e-02 3.544467358583381494e-02 3.618203052327750857e-02 3.854087343753639927e-02 4.050811785715896507e-02 4.569527635905341195e-02 4.923948784187031497e-02 5.006576759590603692e-02 5.705420960221249671e-02 5.783365203694272594e-02 5.859352815483636484e-02 5.876677293735529939e-02 7.194156108762662927e-02 7.829375163626708933e-02
1.473684210526315708e+00 1.556518948975691395e-02 2.149179595978061366e-02 3.069276213597826181e-02 3.157158195480470886e-02 4.134039060239830948e-02 4.319191082092743716e-02 4.509564410412519875e-02 4.562661418205595648e-02 4.579449991780749213e-02 4.626537061778943777e-02 5.096766007817053745e-02 5.139950876108130562e-02 5.193615259076812818e-02 5.297248003177710413e-02 5.407201167972987971e-02 5.637464457385309158e-02 6.522192695244745375e-02 7.054019346598552898e-02 7.358589479079860607e-02 7.602748557816661756e-02 7.765302645497457190e-02 8.665927594058579764e-02 8.990389788977881658e-02 1.076571137303007214e-01 1.115530818417380249e-01
1.947368421052631415e+00 3.368001368155826292e-02 3.567775529805849305e-02 3.756475233912682371e-02 3.898990835934593169e-02 4.083804149985274801e-02 5.173910122049275861e-02 5.666124716394648625e-02 6.512578347894303066e-02 6.747158565596746149e-02 6.885789878548628784e-02 7.798420310082526674e-02 8.252311321747536621e-02 8.387835356830036782e-02 8.433559918703925629e-02 8.580889605773268924e-02 8.866109041463737794e-02 9.761354422775926631e-02 1.046520222893030372e-01 1.127163809201518485e-01 1.192046792085001278e-01 1.195924830171665176e-01 1.420181597124550166e-01 1.467773211857778815e-01 1.572527385032093383e-01 1.727962179078633143e-01
2.421052631578947345e+00 6.397699548372212663e-02 8.382906639175650987e-02 8.685264922867672044e-02 8.975875010429223977e-02 9.214845717696515393e-02 1.003348733315744395e-01 1.044577836603374360e-01 1.111413398704036160e-01 1.153784570190184294e-01 1.164997942886949606e-01 1.209101803860569008e-01 1.252692364074184106e-01 1.267014394696286406e-01 1.304345277851423623e-01 1.312655635632933027e-01 1.321871661630402428e-01 1.411147486797019179e-01 1.453839604207281533e-01 1.804887378828462230e-01 1.823859368885005494e-01 1.925248339343814674e-01 2.428086006330836821e-01 2.552350033310242794e-01 2.747927788741746369e-01 2.826334159024633252e-01
2.894736842105262831e+00 9.836731669973727832e-02 1.149927124027600445e-01 1.246060270201531373e-01 1.252633118132776280e-01 1.260742464898041704e-01 1.327655467599961892e-01 1.425403321801044232e-01 1.485774770356798613e-01 1.519066998174690430e-01 1.538059292416022183e-01 1.551715905050279620e-01 1.608816218751888127e-01 1.620113614086684251e-01 1.814140727776276107e-01 2.029224306101888309e-01 2.168203090713995695e-01 2.316530774569708628e-01 2.334822203466109802e-01 2.352848003941580834e-01 2.404899668008062819e-01 2.447345750466674297e-01 2.748021492249170805e-01 3.210387197842860529e-01 4.621631853214158703e-01 4.843367899179614189e-01
3.368421052631578760e+00 8.997748077420963941e-02 1.078700798271340633e-01 1.138437185218081765e-01 1.165634159621838223e-01 1.266890588901800341e-01 1.573205906806702248e-01 1.587627367272388124e-01 1.860869218794253821e-01 1.874971292882415819e-01 1.886291315062569030e-01 1.901630198190766841e-01 1.988994387016125576e-01 2.087314982777181693e-01 2.245674569373832807e-01 2.291492601583056121e-01 2.306383497907230906e-01 2.468654140975012345e-01 2.507349188991110367e-01 2.721381394057079683e-01 2.827609739071861306e-01 3.268013752800505434e-01 3.556494916689586505e-01 3.575939956564823663e-01 5.320496673937068488e-01 6.227217907507847094e-01
3.842105263157894690e+00 1.926099592782737346e-01 2.048013922785551222e-01 2.171081692422271725e-01 2.375534846814592316e-01 2.384758250047983030e-01 2.408329922492262465e-01 2.419598468253830181e-01 2.476605756206503028e-01 2.516422750787034590e-01 2.543222436980420165e-01 2.612132426314231481e-01 2.638814780588978337e-01 2.660009413509041298e-01 2.685674000920703630e-01 2.703468295914696062e-01 2.783543841238687033e-01 3.018456985019410954e-01 3.069895028598931264e-01 3.200621316769458047e-01 3.616541855270550276e-01 3.701002570895450816e-01 3.971404237751157140e-01 4.274914990179478069e-01 4.529828664184902820e-01 4.770821208167017047e-01
4.315789473684210620e+00 2.268428495348895346e-01 2.818139288819080379e-01 2.922590704377600601e-01 3.008005287198037836e-01 3.080555097450922708e-01 3.116191121393699359e-01 3.154232631490120897e-01 3.194591696041179096e-01 3.633137913523624141e-01 3.690504624220177221e-01 3.777830127349715572e-01 3.828370058794404174e-01 3.862765252172243313e-01 4.057849647340580623e-01 4.689527548199695639e-01 4.744580117038294520e-01 4.804679460874304864e-01 5.007663323791072818e-01 5.043772901640840578e-01 5.096237475503608838e-01 5.243925212481496123e-01 5.765514848367047085e-01 5.831328181476119754e-01 6.424761614076039962e-01 8.410746581541512779e-01
4.789473684210525661e+00 5.695744951155867764e-01 6.152801720544230912e-01 6.414937405061692521e-01 6.627683735693548073e-01 7.064619561150885518e-01 7.073935835855895693e-01 7.708450178464341107e-01 7.891231356137758945e-01 8.590272135053893532e-01 8.905796488131257904e-01 9.238671162223198730e-01 9.605873101909848666e-01 1.001465809478405244e+00 1.037379087590641680e+00 1.066310545003164023e+00 1.098139341554241089e+00 1.181983993776128727e+00 1.182921941898696039e+00 1.234980499464704451e+00 1.301738618119695934e+00 1.315641038021636788e+00 1.539391481983073406e+00 1.568892196107118053e+00 1.581101145686081955e+00 1.645813428499843800e+00
5.263157894736841591e+00 1.206029793558640595e+00 1.319269530259867151e+00 1.330495092533097390e+00 1.332696476066823843e+00 1.874644183820849186e+00 1.981594204846816920e+00 2.173646762668181687e+00 2.204610543665989297e+00 2.224930697249125178e+00 2.497448093084118526e+00 2.503004333501974266e+00 2.512130030700258310e+00 2.549440244846537418e+00 2.585791896639881848e+00 2.793303077179020377e+00 2.825770730573501144e+00 2.963192972695412042e+00 3.038667333697823825e+00 3.074227477975273182e+00 3.194927696591289390e+00 3.236451246613992083e+00 3.327419040156739616e+00 3.662914995175651889e+00 3.753820026443716262e+00 4.277051005341586887e+00
