# U lam_1 lam_2 lam_3 lam_4 lam_5 lam_6 lam_7 lam_8 lam_9 lam_10 lam_11 lam_12 lam_13 lam_14 lam_15 lam_16 lam_17 lam_18 lam_19 lam_20 lam_21 lam_22 lam_23 lam_24 lam_25 lam_26 lam_27 lam_28 lam_29 lam_30 lam_31 lam_32 lam_33 lam_34 lam_35 lam_36 lam_37 lam_38 lam_39 lam_40 lam_41 lam_42 lam_43 lam_44 lam_45 lam_46 lam_47 lam_48 lam_49 lam_50 lam_51 lam_52 lam_53 lam_54 lam_55 lam_56 lam_57 lam_58 lam_59 lam_60
1.000000000000000000e+00 2.909453122151854990e-02 4.120458113458805999e-02 4.302931699570528706e-02 4.509461119704243764e-02 4.677506079705366637e-02 4.704412701036383981e-02 4.712396732189080145e-02 4.807679245711830168e-02 4.903031935961718601e-02 4.980614664100969230e-02 4.982542701796001394e-02 5.139664196129678508e-02 5.986744712906696964e-02 6.021195439849130054e-02 6.083250414042187804e-02 6.106637330310475675e-02 6.221280574162398741e-02 6.375892509349054271e-02 6.506094996665824637e-02 6.808066654896595404e-02 6.950300198177977729e-02 6.968416939831308110e-02 7.110323578807090095e-02 7.386786833528154184e-02 7.464800891129377836e-02 7.468988163585041362e-02 7.881280334126079812e-02 8.098139714707083825e-02 8.235459876304079829e-02 8.264389360239865479e-02 8.419485127256841339e-02 8.573837708323847617e-02 8.663877584219351058e-02 8.824608065501238219e-02 8.934354350485118612e-02 9.101238341516598718e-02 9.174808417634597313e-02 9.199837599052934634e-02 9.243905993245758734e-02 9.264754573658297299e-02 9.411854961886707838e-02 9.555180601217035108e-02 9.599815573046223405e-02 9.648640649941778169e-02 9.816463207311723616e-02 1.000136060838992536e-01 1.020910049145887510e-01 1.096856811318921432e-01 1.132113581453385170e-01 1.133207937624898937e-01 1.148978028488750885e-01 1.176470935843702409e-01 1.367285286986833492e-01 1.483763963099487271e-01 1.525019630153197359e-01 1.559219275058323362e-01 1.567227149094718441e-01 1.651661143650243746e-01 1.857826020781982446e-01 1.887561060218277964e-01
1.473684210526315708e+00 3.886196336681942143e-02 5.279336888090464114e-02 5.829317102376845028e-02 5.994023877919112120e-02 6.040165125216261782e-02 6.277883147228964511e-02 6.410068784994601976e-02 6.554028323662533517e-02 6.898991348422152392e-02 7.014791204314767270e-02 7.234743857906902886e-02 7.417918496132613893e-02 7.535475881914552310e-02 7.884320192758789703e-02 8.003628488741049152e-02 8.043669223703207860e-02 8.117812256558311346e-02 8.149468119629588170e-02 8.376248819003799528e-02 8.487284647650746028e-02 8.758511558642023687e-02 8.858672658335384198e-02 9.107867112550872835e-02 9.108282930244776532e-02 9.463832669016372656e-02 9.503714203468843769e-02 9.505008010741099189e-02 9.560669089997497760e-02 9.645781877722928166e-02 9.723200513156618485e-02 9.869039562339006200e-02 9.881914692183429993e-02 9.964951116075763948e-02 1.083849735026480438e-01 1.096130086843238316e-01 1.140847392088107232e-01 1.239255338324707495e-01 1.242783450643463461e-01 1.344696823787457085e-01 1.346639621531021680e-01 1.411400393639327400e-01 1.464758307629983602e-01 1.483300317284399761e-01 1.557784230723771590e-01 1.561976114608007449e-01 1.596659924449255197e-01 1.608151868673322327e-01 1.620085260110473713e-01 1.635160699626189429e-01 1.682230524545000050e-01 1.710232454857226192e-01 1.887816584525023322e-01 1.909816565380334508e-01 2.003284804486963611e-01 2.032661691686339644e-01 2.176210018109719646e-01 2.297874394073552984e-01 2.464008230791079890e-01 2.466763743388481200e-01 3.106198372372187544e-01
1.947368421052631415e+00 4.792924327792334738e-02 7.318229389701969012e-02 7.346102528982451085e-02 7.491224513714060673e-02 7.783881563785985391e-02 8.026920452822590424e-02 8.088985819899031926e-02 8.320597869566048743e-02 8.327975084246518056e-02 8.829701523626957982e-02 8.935763201667525080e-02 8.973185194225788419e-02 9.142590058120543539e-02 9.890800757387628594e-02 1.031137024472209285e-01 1.041024917701728475e-01 1.072838988772491786e-01 1.082707261592478348e-01 1.083974875997851112e-01 1.112534525209867148e-01 1.123285253327140909e-01 1.153941812332040240e-01 1.160379046857477892e-01 1.166074256420277094e-01 1.171255074686791131e-01 1.186809035434800014e-01 1.190192518926255077e-01 1.216076961970818243e-01 1.234659081084814036e-01 1.272286693281687586e-01 1.365015624208598122e-01 1.365409276622866486e-01 1.378153673248855293e-01 1.438641245450369421e-01 1.476278377133624087e-01 1.480478348527881349e-01 1.481453669937461137e-01 1.527845750937615321e-01 1.638539973217388590e-01 1.639677422676894536e-01 1.657626796723046803e-01 1.671202700178936185e-01 1.683647048867638885e-01 1.696243351671367916e-01 1.718764468934821099e-01 1.724427252966237167e-01 1.774628761085650930e-01 1.802425847169368822e-01 1.907831375383506334e-01 2.179573541907790790e-01 2.184209533231444567e-01 2.208480065054234942e-01 2.276803195256459356e-01 2.324896035100427749e-01 2.440589732693760339e-01 2.614488197222901156e-01 2.811398004195283518e-01 2.882411419940895669e-01 3.050559572490869065e-01 4.076271136700420628e-01
2.421052631578947345e+00 5.703271165071686910e-02 7.283333474896307169e-02 8.780488042994627484e-02 9.352969379455887411e-02 9.953298780198770179e-02 1.057339784118111747e-01 1.059191563234716665e-01 1.121865282868049346e-01 1.298283080548749691e-01 1.312535487376894627e-01 1.352621378029411348e-01 1.371092659076783293e-01 1.401454200620116386e-01 1.407865104794214228e-01 1.463891412178391360e-01 1.483761433503807958e-01 1.499129186499847388e-01 1.546676738419132946e-01 1.576789402502594417e-01 1.616739330766440441e-01 1.688622619283947635e-01 1.714408770202944521e-01 1.719247256819674829e-01 1.784713028013240332e-01 1.809190992756495586e-01 1.812972625128754234e-01 1.852921532893773149e-01 1.898352027075529691e-01 1.935198557528132746e-01 1.965773366283262436e-01 1.975678407802795022e-01 2.028758711050992480e-01 2.041017401510019924e-01 2.076231894277647816e-01 2.147286871297434674e-01 2.161626453028230865e-01 2.163574751339755464e-01 2.165524354523908623e-01 2.206832069594615864e-01 2.265856021234242401e-01 2.285691930352529988e-01 2.311665239795241134e-01 2.323626314860357256e-01 2.326318507248914258e-01 2.371705229359944711e-01 2.430061757428806091e-01 2.453324358667209049e-01 2.473342539278663432e-01 2.623580117946693324e-01 2.650045478324185577e-01 2.810263026526558239e-01 2.876214859714160688e-01 2.976942029474192730e-01 3.042819059104640567e-01 3.154426187698979867e-01 3.332346352906308540e-01 3.346859342877762655e-01 3.556082108268941999e-01 3.955329840013178111e-01 4.037123815452466902e-01
2.894736842105262831e+00 1.027737492512925677e-01 1.062010177978914005e-01 1.105042890508835390e-01 1.118388045387162938e-01 1.132810651678589769e-01 1.190743324807557596e-01 1.376375738309435492e-01 1.379683069326435585e-01 1.442450057754874060e-01 1.537505983531710640e-01 1.573808782960751662e-01 1.586549246005004854e-01 1.589501734566764746e-01 1.664614563158327287e-01 1.783944707899051962e-01 1.964434518523541229e-01 2.055084876568138708e-01 2.089592607303079330e-01 2.104440964060222685e-01 2.187250421480935458e-01 2.203128862665117149e-01 2.217165185763677882e-01 2.303780878963114787e-01 2.389779568020073408e-01 2.445056635251137978e-01 2.485061543952654106e-01 2.505478622544216050e-01 2.538664415209788139e-01 2.558912535034118529e-01 2.576268120442580245e-01 2.703745420786595188e-01 2.731193991366259177e-01 2.741413707489674945e-01 2.770556804683169672e-01 2.792656756768275850e-01 2.955914130725844080e-01 2.988090892262809661e-01 2.997069057778955492e-01 3.048949372622389853e-01 3.101219589322822268e-01 3.132089422013823454e-01 3.154638182267281987e-01 3.288624430989091074e-01 3.326058526178526376e-01 3.331422049280741704e-01 3.361607104811996649e-01 3.504973535344689806e-01 3.586423204238093909e-01 3.603414504757664893e-01 3.611210375068610312e-01 3.707276231598229943e-01 3.892051157539749839e-01 4.243276455129447178e-01 4.442022068415560354e-01 5.248768766525081508e-01 5.259114838165088734e-01 6.077786407719166784e-01 7.343544307245696290e-01 7.758987247306853297e-01 1.125630381142266989e+00
3.368421052631578760e+00 1.555038429165783165e-01 1.632958358745971172e-01 1.688530449889770191e-01 1.794147779898785655e-01 1.990862087088186849e-01 2.026460188595742562e-01 2.039759209728204126e-01 2.074444710039329010e-01 2.084867187572491953e-01 2.137847206232143804e-01 2.268394249551651254e-01 2.366042920994277099e-01 2.411211741140117382e-01 2.449190917349301500e-01 2.469858706477497112e-01 2.502646831641335279e-01 2.517304806352938518e-01 2.528637152037345737e-01 2.668476495945134030e-01 2.821250730978138721e-01 2.821846664120140624e-01 2.950210977440557159e-01 3.046853317717966303e-01 3.058814910883473903e-01 3.092919396685815947e-01 3.102492938928249622e-01 3.108479487320947587e-01 3.116046029749076074e-01 3.168124571273082668e-01 3.289375586033085885e-01 3.402706662243776825e-01 3.406571933820025655e-01 3.468088952785155499e-01 3.512042739801122249e-01 3.607699945888276916e-01 3.609148991881881985e-01 3.622586942564667289e-01 3.623048543485841710e-01 3.804302850384755352e-01 3.819888114591055150e-01 4.213427838986286145e-01 4.238583387837117633e-01 4.320434287009206065e-01 4.324526981440173778e-01 4.365504303620824644e-01 4.387546012059953537e-01 4.495895174855646936e-01 4.597253181306753533e-01 4.646173744640930692e-01 4.651321395334048203e-01 4.936342288558342450e-01 5.465500194559108627e-01 5.984211462392773351e-01 5.993011378052739424e-01 6.118853252581898383e-01 6.246357441696849255e-01 8.054789689994215074e-01 8.360896295705015913e-01 8.446844489230234121e-01 9.096068761836449967e-01
3.842105263157894690e+00 1.507110573158647326e-01 1.533847716202317579e-01 1.581863139115738948e-01 1.596491157063015809e-01 1.629238289416582164e-01 1.738737490494411397e-01 1.996478782321216561e-01 2.014139534227359640e-01 2.099715666679942416e-01 2.116087676797228090e-01 2.116962495590106741e-01 2.327775119080848776e-01 2.372827612038246881e-01 2.720191727307455509e-01 2.884152634112858715e-01 2.940782621217477022e-01 3.038597052441407431e-01 3.076673275500242388e-01 3.101903181384089159e-01 3.136096205550890637e-01 3.188020306632099454e-01 3.251301872693988515e-01 3.289894938612621944e-01 3.339177610237167859e-01 3.365395553109327142e-01 3.375023221424820474e-01 3.413829938125693686e-01 3.832723806568533176e-01 3.833341112930712669e-01 3.855250239046269511e-01 4.042780995323132509e-01 4.103880421787572952e-01 4.123163555886319998e-01 4.159658299989822949e-01 4.254902973586707216e-01 4.343318969204488234e-01 4.397666896259374014e-01 4.483284316743079145e-01 4.569574172652840494e-01 4.709482440492872013e-01 4.747560210614705789e-01 4.775089142211593751e-01 4.948832960963567285e-01 4.971697356562462811e-01 4.973145301938002305e-01 5.078357132224188275e-01 5.419377204428448280e-01 5.423647943303978591e-01 5.514147814552434745e-01 5.663737779045547871e-01 5.766989937120284848e-01 5.782439240442746042e-01 5.892106490883641801e-01 5.916398822768134114e-01 5.958175189623781121e-01 6.079149626286646235e-01 6.174404535202974165e-01 6.262333418680590125e-01 6.465576352905617608e-01 7.077388902532314452e-01
4.315789473684210620e+00 9.290540184635541487e-02 2.241369514466771129e-01 2.426351908335708241e-01 2.642831516422413651e-01 2.647181885903650556e-01 2.969123522540721427e-01 3.046122247395484095e-01 3.203068175269765949e-01 3.226278134095386663e-01 3.362800859553796151e-01 3.382045068002352828e-01 3.389621102694906352e-01 3.405088363440114119e-01 3.437998036791172218e-01 3.476556296252150124e-01 3.645846996555530684e-01 4.119152075921123091e-01 4.150487287935965552e-01 4.339827030776333694e-01 4.548854779441110496e-01 4.605271042101429235e-01 4.624310632664214715e-01 4.702037400309288517e-01 4.781897825381814515e-01 4.795288108271327787e-01 4.872655646622381376e-01 4.974350461733398898e-01 5.285105633494860955e-01 5.357898409391858019e-01 5.741620445920327942e-01 5.836718635385561571e-01 6.501705231018108933e-01 6.557717170075683111e-01 6.651802462369337254e-01 6.653606686518326319e-01 6.826181434825077110e-01 6.844663533558486002e-01 6.922917798106281717e-01 6.997400879112229966e-01 7.101641623114376412e-01 7.545751004863960887e-01 7.787899855673866556e-01 7.902848435629692414e-01 7.913387911722191692e-01 8.043308733802086996e-01 8.168617328004957878e-01 8.212655315693087044e-01 8.468279418821497151e-01 8.521469680364185395e-01 8.774413102936373665e-01 9.036048629948787436e-01 9.138280691428610769e-01 9.442492938799236235e-01 9.982470402937301257e-01 1.006758885615265831e+00 1.013656996448287106e+00 1.033895527683801996e+00 1.119519953127458223e+00 1.119769797505779652e+00 1.184078031313742896e+00
4.789473684210525661e+00 4.607089765863517372e-01 5.218769655477125680e-01 5.495816144966025885e-01 6.389119964338498825e-01 6.693785127103940580e-01 6.722166210620714732e-01 7.709588812384077228e-01 8.158770184513757240e-01 8.195910954262231041e-01 8.220206488851213855e-01 8.382222728083101870e-01 8.538882996681559368e-01 8.571611603161778392e-01 8.578003318994583681e-01 8.852259307931668042e-01 9.065179210531405518e-01 9.503920277148119045e-01 9.703719362834577478e-01 9.770532299769317808e-01 9.773997988996518949e-01 1.045037057322795837e+00 1.051043109951384613e+00 1.062369514925606939e+00 1.075810693623604486e+00 1.085456354351501673e+00 1.092598370276179676e+00 1.159297208022197267e+00 1.195460556279539066e+00 1.211312483991592082e+00 1.262097933879378742e+00 1.275434199571320093e+00 1.294098356282404660e+00 1.319801293949510512e+00 1.328199327879498348e+00 1.341600124075326361e+00 1.356879155426413242e+00 1.358940854377448160e+00 1.371995352439439930e+00 1.414913149132398518e+00 1.437845450052201102e+00 1.538790149141475716e+00 1.541602090537659731e+00 1.562287305912011037e+00 1.567895226293218647e+00 1.611817131043536300e+00 1.661437609850571873e+00 1.667413559545916080e+00 1.734485915863624328e+00 1.746670211578122078e+00 1.747947259863766645e+00 1.758744599975653466e+00 1.771497844873950234e+00 1.850027630503478404e+00 1.871051468019755193e+00 1.880383867552756660e+00 1.966418566194857886e+00 1.975372916455534256e+00 1.981139557274860463e+00 2.067201944353269205e+00 2.138472741030665869e+00
5.263157894736841591e+00 7.349898040264093435e-01 8.484928373903434240e-01 9.797888808074501910e-01 1.171994972197680784e+00 1.194116978448701794e+00 1.290840038597634631e+00 1.319090293560163607e+00 1.349520370902407063e+00 1.484430992325601828e+00 1.527749124221140953e+00 1.629132400444668560e+00 1.637670698189728657e+00 1.665891671895189940e+00 1.688811408592243435e+00 1.694469555786527470e+00 1.720543793476126515e+00 1.737283735316832223e+00 1.766426693099768741e+00 1.989881337379092674e+00 2.101112703359791389e+00 2.183801142877293433e+00 2.260824107505483127e+00 2.322416107689593279e+00 2.330049925969216229e+00 2.340326165427357274e+00 2.360640730347296934e+00 2.390569408639243054e+00 2.401893420300139859e+00 2.515263000888696254e+00 2.522522568076311700e+00 2.523360552806542589e+00 2.524695640062910584e+00 2.532874176076072015e+00 2.551233023171497472e+00 2.564197657505498107e+00 2.722780177970318682e+00 2.781436683921955755e+00 2.833942710747160643e+00 2.887993756013048419e+00 2.888477674037241538e+00 2.976218376373152896e+00 3.017773992257265725e+00 3.088041527181140555e+00 3.262458622964155897e+00 3.275253733004850787e+00 3.321153258852839407e+00 3.336641594123657573e+00 3.340009495295735320e+00 3.409951353883266201e+00 3.599985484518218648e+00 4.002025475084201034e+00 4.201414133296765385e+00 4.285357196958202053e+00 4.286141129518125759e+00 4.445288706759639830e+00 4.584493445333798434e+00 4.718480753748325540e+00 4.887312507129297323e+00 4.900231591197859338e+00 6.911775342061010186e+00
