# U lam_1 lam_2 lam_3 lam_4 lam_5 lam_6 lam_7
1.000000000000000000e+00 6.526985385232740577e-02 6.528795381606591897e-02 6.530062481377588157e-02 6.534316948684595894e-02 6.535990578098704873e-02 6.539589198573571294e-02 6.540367329322570311e-02
1.473684210526315708e+00 9.973140153501025562e-02 9.974715882006274237e-02 9.980817078642006956e-02 9.985183133954855794e-02 9.995781004168774464e-02 1.000014583914067973e-01 1.000618825707051823e-01
1.947368421052631415e+00 1.253393230475566000e-01 1.301903738311736558e-01 1.322680228899436872e-01 1.369570948289625389e-01 1.383703544913502670e-01 1.386788488843137546e-01 1.388023941881054713e-01
2.421052631578947345e+00 1.721672214511620613e-01 1.796559149512780840e-01 1.826124736384348024e-01 1.840866935650748437e-01 1.840940071899689889e-01 1.867195865982172742e-01 1.943832018161966158e-01
2.894736842105262831e+00 2.179504043415755321e-01 2.226177766218218335e-01 2.282251487062723072e-01 2.299446028287316646e-01 2.305883328007513888e-01 2.401156288274992889e-01 2.756093968103623948e-01
3.368421052631578760e+00 2.702431870186787211e-01 2.709009326196941125e-01 2.802560170492472413e-01 2.802575878637717510e-01 2.903293598830156697e-01 2.904499529936339086e-01 3.796616867884078927e-01
3.842105263157894690e+00 2.986124243958208080e-01 3.217790567658490586e-01 3.352320072229673098e-01 3.397000120514373500e-01 3.624466216184521472e-01 3.749746555664508763e-01 4.176203382055297952e-01
4.315789473684210620e+00 3.475164738360083105e-01 3.952860611161473914e-01 4.030856704892910591e-01 4.039633489187853810e-01 4.345869871184659949e-01 4.486975122061848675e-01 5.214035305955203592e-01
4.789473684210525661e+00 4.031566295358512408e-01 4.446661409882634031e-01 4.598688610973513669e-01 4.623434028537973806e-01 5.132604735928917306e-01 5.284659355218613852e-01 5.688467749800101281e-01
5.263157894736841591e+00 4.642294190934897480e-01 5.203296121964875454e-01 5.253307068696536630e-01 5.519960547701519005e-01 5.739222059760991090e-01 6.182408465422233323e-01 7.181158133730175530e-01
5.736842105263157521e+00 5.292479116043646847e-01 5.744982158396442218e-01 5.813401903409201044e-01 6.326689146306304634e-01 6.452631162565446443e-01 7.167569816873099464e-01 8.341398382970943715e-01
6.210526315789473450e+00 5.937028219832860554e-01 6.248971544449846149e-01 6.336915232022050093e-01 6.925972378136672214e-01 7.403339413239293787e-01 8.091136300280252769e-01 9.466415761527168238e-01
6.684210526315789380e+00 6.888943175113004802e-01 6.925121986368396598e-01 7.303760691686360662e-01 7.443780467574288018e-01 7.673338717698289235e-01 8.264639809056045783e-01 9.848909785552656393e-01
7.157894736842105310e+00 7.382442835896178002e-01 7.460154837435158948e-01 7.951381276798905606e-01 8.285454523619516509e-01 8.329981426249961629e-01 8.764496074828315164e-01 1.132290712846488745e+00
7.631578947368420351e+00 7.726366611723946010e-01 7.907935853754194389e-01 7.919779459992009052e-01 1.098301555556485010e+00 1.112337133017602619e+00 1.404637301516561854e+00 1.424060126341996746e+00
8.105263157894736281e+00 8.118440191550424512e-01 8.334709946884162335e-01 8.367046718213346779e-01 1.162815919200917314e+00 1.178487027627098449e+00 1.496696818095878401e+00 1.512114040671295401e+00
8.578947368421051323e+00 7.627447031787100151e-01 8.540723863203720789e-01 9.016972705653449882e-01 9.272501066328153740e-01 1.048253239333554854e+00 1.218683315615042950e+00 1.631916391569926850e+00
9.052631578947368141e+00 7.855618014207742528e-01 7.996549464826330222e-01 8.921354601840130183e-01 1.001934478751598467e+00 1.112491612039193889e+00 1.179353790464733542e+00 1.277830104013238932e+00
9.526315789473683182e+00 8.177474287945779574e-01 8.309442414381704722e-01 9.241128705449429548e-01 1.052030104844482228e+00 1.161057519429117058e+00 1.226521669483778387e+00 1.334466518571097549e+00
1.000000000000000000e+01 8.440223022879017600e-01 8.598022531956267533e-01 9.538614261990289167e-01 1.102237272905597365e+00 1.214757197083593310e+00 1.267086910588991699e+00 1.385334503095322356e+00
