# U R=5 R=7 R=8 R=10 R=20 R=25 R=40
1.000000000000000000e+00 7.031108430131233211e-02 6.526985385232740577e-02 6.244535089317264365e-02 2.797792397919183702e-02 1.099502820714481043e-02 1.254454652918696698e-02 1.245669956307768680e-02
1.473684210526315708e+00 1.066596389319365845e-01 9.973140153501025562e-02 9.927837520691513984e-02 4.835646602625753160e-02 2.160775039187752544e-02 1.556518948975691395e-02 1.849080383323874893e-02
1.947368421052631415e+00 1.463932793960609213e-01 1.253393230475566000e-01 1.316622487233460870e-01 8.500680609799310394e-02 3.731228782730451610e-02 3.368001368155826292e-02 4.093320017263266802e-02
2.421052631578947345e+00 1.901856383935133510e-01 1.721672214511620613e-01 1.742208833661686440e-01 1.303957484744935891e-01 7.739639569087329585e-02 6.397699548372212663e-02 6.345888567645804890e-02
2.894736842105262831e+00 2.380500653861477578e-01 2.179504043415755321e-01 2.182815441148886204e-01 1.667682258658241823e-01 7.187031026311321846e-02 9.836731669973727832e-02 6.751585744341755124e-02
3.368421052631578760e+00 2.891550381172748319e-01 2.702431870186787211e-01 2.561873185315261536e-01 2.147059374644798568e-01 1.745522884771967820e-01 8.997748077420963941e-02 8.934249792479627417e-02
3.842105263157894690e+00 3.420002901526828509e-01 2.986124243958208080e-01 3.045691056510995698e-01 3.156999979927787026e-01 1.503876281192426390e-01 1.926099592782737346e-01 1.422890159402982746e-01
4.315789473684210620e+00 3.949168372582549935e-01 3.475164738360083105e-01 3.536271258639008819e-01 3.224944885642209713e-01 3.376244638258376063e-01 2.268428495348895346e-01 1.426632530823265799e-01
4.789473684210525661e+00 5.065743910757284363e-01 4.031566295358512408e-01 3.725053305647422208e-01 4.247739339014229287e-01 8.873020620848646178e-01 5.695744951155867764e-01 3.138072155890855863e-01
5.263157894736841591e+00 5.946241484868545202e-01 4.642294190934897480e-01 4.641468071413051844e-01 4.424105867802020642e-01 1.715724338705481689e+00 1.206029793558640595e+00 8.004069521132478604e-01
5.736842105263157521e+00 6.592936954249167814e-01 5.292479116043646847e-01 4.912329380230033293e-01 5.472801961044629904e-01 2.016140936206703316e+00 2.032858448068545876e+00 1.043217171692671252e+00
6.210526315789473450e+00 7.202123014403002399e-01 5.937028219832860554e-01 5.347437734986656421e-01 5.340420844351054797e-01 5.436440007182079981e+00 2.927661249996040826e+00 1.638815810908173853e+00
6.684210526315789380e+00 7.773484316642301772e-01 6.888943175113004802e-01 5.987992392128100860e-01 6.001211929295093839e-01 3.060706502991138223e+00 3.377709766869501973e+00 nan
7.157894736842105310e+00 8.308333810001011788e-01 7.382442835896178002e-01 6.110290137149498868e-01 6.998695250579414218e-01 6.479213857124138443e+00 2.894538878552572747e+00 nan
7.631578947368420351e+00 8.808967589927648723e-01 7.726366611723946010e-01 6.750873274019009163e-01 7.532072966526537350e-01 nan                      3.590431101288713567e+00 nan
8.105263157894736281e+00 8.745835836987443379e-01 8.118440191550424512e-01 6.816151561678229776e-01 7.769582509379895363e-01 nan                      3.600781364125437367e+00 nan
8.578947368421051323e+00 9.160275611328272394e-01 7.627447031787100151e-01 7.420390274350620041e-01 1.202130093279300427e+00 nan                      4.832779488073041918e+00 nan
9.052631578947368141e+00 1.012550311392772739e+00 7.855618014207742528e-01 7.626251663719194607e-01 7.878450695884562371e-01 nan                      2.853589525485136225e+00 nan
9.526315789473683182e+00 1.049708816745448248e+00 8.177474287945779574e-01 8.042699531927787193e-01 1.053280313083783559e+00 nan                      3.575746430450097879e+00 nan
1.000000000000000000e+01 1.084472507937867203e+00 8.440223022879017600e-01 7.936792498024506370e-01 8.790562021145181815e-01 nan                      3.472041465043477881e+00 nan
