# U R=5 R=7 R=8 R=10 R=20 R=25 R=40
1.000000000000000000e+00 1.623533894336886573e-07 6.565382847887720594e-07 7.297380192078628470e-08 6.396420655281152244e-08 1.316810231219264757e-08 2.583512849045065543e-08 3.771460066677875966e-08
1.473684210526315708e+00 5.279512503757587120e-09 6.730835655591676660e-08 1.968973638519568418e-07 5.161856296556763376e-07 2.568698379767694113e-08 2.844735823041120084e-08 1.119189466678941284e-08
1.947368421052631415e+00 8.444065694018172732e-09 1.074701677978949629e-05 1.160655742854408750e-05 8.572058115467994017e-07 4.889922161720746554e-08 6.318923864241822964e-08 1.266277916661190945e-07
2.421052631578947345e+00 1.097871360633153647e-08 2.480758942074281278e-05 8.185692992674484443e-05 9.591150103470984374e-08 8.894762130640719232e-08 1.115353393741085105e-07 2.560107014689691377e-07
2.894736842105262831e+00 7.909471799654928435e-08 3.048341738414491863e-04 2.444797931147901193e-05 3.435214659489655003e-06 2.145594396229219658e-07 2.346661171624451889e-07 2.749021695416589216e-07
3.368421052631578760e+00 3.500301663451388060e-07 7.241697342104062598e-07 1.241531134314205356e-04 2.752697009313293322e-06 9.624115748107413099e-08 5.825542508283452796e-07 7.004284728694616338e-08
3.842105263157894690e+00 8.198653829358206604e-08 3.023966812098743533e-05 2.436891870260280712e-05 3.891188043902469944e-05 1.601662847722366864e-07 1.243418511234766032e-07 4.966444242682524488e-08
4.315789473684210620e+00 9.234961741246774486e-07 5.163618972873467781e-06 3.946187892200467424e-06 4.437484474465306199e-06 2.576525612423915606e-07 4.962218496406449472e-06 9.772945138226641510e-09
4.789473684210525661e+00 2.720911709308018961e-05 4.571762389244880787e-05 4.470562950420705516e-05 4.369488587702402544e-05 7.763244248477370037e-07 1.040721085269506200e-07 5.746115630605696519e-11
5.263157894736841591e+00 3.549222235267314832e-07 1.068420621156779657e-05 4.137120545011318780e-05 2.390070681963661809e-05 5.430490094125115443e-07 2.452686357015539023e-09 7.212906512613327661e-10
5.736842105263157521e+00 1.417893975953393253e-06 1.506058241709902124e-07 1.073839145084103392e-05 1.231363435805505474e-04 1.089778191192903823e-06 2.636994690123418970e-06 8.005660711902089101e-10
6.210526315789473450e+00 4.851831513797737468e-06 4.792205946285028930e-06 1.850204702546837265e-06 6.652295486088459974e-05 1.082390187181027632e-05 2.722159135735434299e-09 6.976350900262921718e-10
6.684210526315789380e+00 4.363470088655434668e-06 8.339742655122680908e-05 1.422814751918681427e-05 3.842303186360425176e-05 3.217857299811093272e-06 8.185824336746178025e-07 nan
7.157894736842105310e+00 3.793364818663341606e-06 8.288113469503573228e-05 4.479454686415792596e-05 4.621550404437804412e-05 2.604489324555257066e-05 9.708138484497606181e-10 nan
7.631578947368420351e+00 2.927019814560281988e-06 1.372569823913121367e-05 1.253218536292436953e-04 3.511358510317058590e-05 8.841018878092001977e-06 7.810634613621015234e-06 nan
8.105263157894736281e+00 8.349237978224400576e-07 8.406902138786097244e-06 2.032921100203707548e-05 1.360405988298615712e-04 nan                      3.958375523914470983e-09 nan
8.578947368421051323e+00 5.831386709500729821e-07 1.555253771012416154e-07 5.266140414393389766e-06 2.934356034549069061e-05 nan                      2.106886856205255196e-09 nan
9.052631578947368141e+00 3.905390419263142158e-08 5.933071915465122600e-06 1.397360881551692590e-04 4.618206812461602117e-05 nan                      2.181442891042098553e-08 nan
9.526315789473683182e+00 1.817230279001764999e-08 7.356716211504799292e-06 3.622557600712457903e-05 1.443422025777359120e-04 nan                      1.715851297455332562e-08 nan
1.000000000000000000e+01 1.916226511510882109e-08 6.283357674813548296e-06 3.859061782314849578e-08 7.651373567738221720e-05 nan                      8.700392454017399860e-09 nan
