# U R=5 R=7 R=8 R=10 R=12 R=20 R=25 R=40
1.000000000000000000e+00 3.452865856768196073e-02 5.013411666493979534e-03 2.651294152342881585e-03 1.167163279596380966e-04 3.579077372166744532e-05 4.314840019842570962e-06 1.559834755380555018e-06 1.059562308174867253e-06
1.473684210526315708e+00 7.402378532060703564e-02 1.071814221008634410e-02 5.755756564009589793e-03 6.532335500070171695e-04 1.431428719571663482e-04 8.955158302026309665e-06 3.383930029838335077e-06 1.472810909045158218e-07
1.947368421052631415e+00 1.264596786846709509e-01 4.902748330578143160e-02 1.013450144640235667e-02 1.177867997161465789e-03 2.972119728272066739e-04 1.453996797214412095e-05 6.384173587213439399e-06 2.595286429428768671e-06
2.421052631578947345e+00 1.889244639345342702e-01 1.060828463902187963e-01 5.852434360816941711e-02 1.124349444062587881e-03 7.531625737621905738e-04 2.462476769337684890e-05 8.724691198730558426e-06 1.710250161410381646e-06
2.894736842105262831e+00 2.572126747496433774e-01 1.612495502612094067e-01 8.746012507929849800e-02 2.909330049780599683e-03 1.573019641826013931e-03 8.905003346769386303e-05 2.141025978802020771e-05 1.628033051325776551e-06
3.368421052631578760e+00 3.264873786878136896e-01 2.126988880756856826e-01 1.208426469473836695e-01 4.145266531079815422e-03 4.801605915536900221e-03 8.928304543207164388e-05 4.162977482538085522e-05 5.251460171847121753e-07
3.842105263157894690e+00 3.924671021614466460e-01 2.712396797594736619e-01 1.716339068582485861e-01 4.045427248985489221e-03 5.745507954928595791e-03 2.127425511827511914e-04 1.046224553561050077e-05 2.834328333864232571e-07
4.315789473684210620e+00 4.523844472047881538e-01 3.215910730062405132e-01 2.056586892172042325e-01 6.210170408378449212e-03 9.981208076779655644e-03 3.927017195819697683e-04 2.069965619959375882e-04 3.753852846186227513e-08
4.789473684210525661e+00 5.292853661180418889e-01 3.624069887368704945e-01 2.345549837399446835e-01 1.215797856831350721e-02 1.504598232124882209e-02 1.074142466867962411e-03 1.767727252583803778e-05 4.186835066505882437e-10
5.263157894736841591e+00 5.739807307805147030e-01 3.975910099196606762e-01 2.657496507666734509e-01 9.322163372278355342e-03 2.529373321716750847e-02 1.020237267893755583e-03 9.251584538986024113e-08 1.550826437894982890e-09
5.736842105263157521e+00 6.101549713537850472e-01 4.250831024969189964e-01 2.744063198526616731e-01 1.657977297576828171e-02 4.059098457712924379e-02 1.216629959974536166e-03 6.455787706118057087e-05 1.388286756494146566e-09
6.210526315789473450e+00 6.397069683948395369e-01 4.475555121151588156e-01 2.912687169182774927e-01 1.767507100698518033e-02 5.092782773847062683e-02 1.218214265246038951e-02 7.629775075771907260e-08 7.060622959433680842e-10
6.684210526315789380e+00 6.638967498423710145e-01 4.873860287124495150e-01 3.179386958157655041e-01 3.405745960694483987e-02 1.959362823041632673e-02 4.949059613780342967e-03 2.645850845329195456e-05 nan
7.157894736842105310e+00 6.837655856224447160e-01 5.014232803566067709e-01 3.164467203734450673e-01 5.187991748121265762e-02 3.955009193311379706e-02 1.982656907605804056e-02 4.597706227386300545e-08 nan
7.631578947368420351e+00 7.001445401144730241e-01 5.223751893659918100e-01 3.420452110613970698e-01 7.893961937448013000e-02 5.466569694251819517e-02 9.021421141995103130e-03 9.166347261453656992e-05 nan
8.105263157894736281e+00 7.295199184219246513e-01 5.341976161740940032e-01 3.510204144637467660e-01 8.221587200482577407e-02 4.270419397886267981e-02 nan                      9.928871224104683361e-08 nan
8.578947368421051323e+00 7.433109265860787795e-01 5.344821742393494057e-01 3.568285726887989728e-01 6.746338574802258903e-02 6.619392607825740071e-02 nan                      1.497597014275469075e-07 nan
9.052631578947368141e+00 7.349606238530758118e-01 5.447590007885381169e-01 3.665105021811377317e-01 8.526226335872880147e-02 6.400951284511600947e-02 nan                      4.125420946991396573e-07 nan
9.526315789473683182e+00 7.446502857431160916e-01 5.505439218181394923e-01 3.767376763630684300e-01 7.763811819050071839e-02 7.046258342195789448e-02 nan                      2.774568699764700856e-07 nan
1.000000000000000000e+01 7.531383033370970814e-01 5.553069817100371175e-01 3.812992547676674060e-01 5.181648217107712173e-02 1.239455416546049460e-01 nan                      7.982482269140749579e-08 nan
