# U |t1|
1.000000000000000000e+00 1.444527387816718532e-09
1.473684210526315708e+00 1.041146449693625260e-08
1.947368421052631415e+00 5.650190903362717269e-09
2.421052631578947345e+00 3.107558940119559655e-09
2.894736842105262831e+00 1.116427667320432987e-08
3.368421052631578760e+00 2.813714536879434003e-09
3.842105263157894690e+00 1.099805738343692616e-06
4.315789473684210620e+00 4.329101845408520393e-08
4.789473684210525661e+00 2.112897401983143859e-06
5.263157894736841591e+00 3.145147547338823030e-12
5.736842105263157521e+00 2.783205424777079363e-03
6.210526315789473450e+00 8.688158925626410234e-03
6.684210526315789380e+00 2.734864735266556018e-03
7.157894736842105310e+00 2.857056960528565719e-03
7.631578947368420351e+00 6.459707606265427046e-03
8.105263157894736281e+00 2.262597828027506242e-03
8.578947368421051323e+00 5.011977359487496608e-05
9.052631578947368141e+00 3.573939343777654716e-03
9.526315789473683182e+00 7.842798896598722784e-05
1.000000000000000000e+01 2.192406391918709768e-05
