# U R=7 R=14 R=21 R=28
1.000000000000000000e+00 -1.463027493594720241e+01 -1.471261655932406853e+01 -1.471377495817389658e+01 -1.471386902565514809e+01
1.236842105263157965e+00 -1.388644694273672542e+01 -1.400948082660704941e+01 -1.401173120841831832e+01 -1.401193596110596218e+01
1.473684210526315708e+00 -1.316377628111615650e+01 -1.333320427590272317e+01 -1.333729235673425784e+01 -1.333779988209911060e+01
1.710526315789473673e+00 -1.246404429695574478e+01 -1.268372872400014728e+01 -1.269093380656589254e+01 -1.269227503367297238e+01
1.947368421052631415e+00 -1.178918719263529269e+01 -1.206124688179300541e+01 -1.207341016191707261e+01 -1.207585724778954273e+01
2.184210526315789380e+00 -1.114110036940390280e+01 -1.146546720800342634e+01 -1.148498698326322476e+01 -1.149063270215251009e+01
2.421052631578947345e+00 -1.052139347764474486e+01 -1.080833666236199520e+01 -1.092808957177945040e+01 -1.093810036711506406e+01
2.657894736842105310e+00 -9.931614442399443021e+00 -1.035238343002382422e+01 -1.040123692087717089e+01 -1.042422325187590815e+01
2.894736842105262831e+00 -9.374144181422801481e+00 -9.834094719296185616e+00 -9.910867403797599451e+00 -9.951982237546692645e+00
3.131578947368420796e+00 -8.841200055201197117e+00 -9.338831300787791889e+00 -9.457664343754560221e+00 -9.525272822037926801e+00
3.368421052631578760e+00 -8.338638537208952428e+00 -8.876382302832915627e+00 -9.043865542866097229e+00 -9.211284218701127458e+00
3.605263157894736725e+00 -7.861517603494614370e+00 -8.425901610714170431e+00 -8.677242177355140029e+00 -9.098752160154427671e+00
3.842105263157894690e+00 -7.418051364796410141e+00 -8.006143013895609784e+00 -8.383400993545084390e+00 nan
4.078947368421053099e+00 -6.973515013180643152e+00 -7.605217776666387763e+00 -8.144727764564500205e+00 nan
4.315789473684210620e+00 -6.577104906765787184e+00 -7.218543908473236570e+00 -8.056719750284436543e+00 nan
4.552631578947368141e+00 -6.189267194368947678e+00 -6.849928620450235428e+00 -8.476357131743736062e+00 nan
4.789473684210525661e+00 -5.772001379437603497e+00 -6.491248556913143730e+00 nan nan
5.026315789473684070e+00 -5.430214546257568000e+00 -6.169582295170104480e+00 nan nan
5.263157894736841591e+00 -5.088427713077534165e+00 -5.879846531431543788e+00 nan nan
5.500000000000000000e+00 -4.739629207586235182e+00 -5.571158345223525821e+00 nan nan
# -4.389872945096028545e+00
