# U R=7 R=14 R=21 R=28
2.000000000000000000e+00 -1.108008571035649936e+01 -1.123241000674093470e+01 -1.126727443103092874e+01 -1.126897701360081960e+01
2.388888888888888840e+00 -9.973114362184741566e+00 -1.037582162679570175e+01 -1.039384297838609150e+01 -1.039959535990218420e+01
2.777777777777777679e+00 -9.271163895051582671e+00 -9.575341689004496004e+00 -9.613347447411616287e+00 -9.632913322050827176e+00
3.166666666666666963e+00 -8.481405019485453778e+00 -8.854069216966815148e+00 -8.938608644173129392e+00 -8.959154513987915180e+00
3.555555555555555358e+00 -7.762395618886452908e+00 -8.202558040546314544e+00 -8.369947931126468177e+00 -8.435458830535404573e+00
3.944444444444444642e+00 -7.108220266299953849e+00 -7.636986525300512696e+00 -7.959963656970929335e+00 -8.209117226462090855e+00
4.333333333333333925e+00 -6.512544343802206370e+00 -7.136341219072746433e+00 -7.510893729874790203e+00 nan
4.722222222222222321e+00 -5.968889452374406268e+00 -6.694241046801447048e+00 -7.665036874282378676e+00 nan
5.111111111111110716e+00 -5.472731960944519081e+00 -6.358751117048017321e+00 -7.951207187493318784e+00 nan
5.500000000000000000e+00 -5.015347199191786842e+00 -6.000584409736697822e+00 -1.881291152391553823e+01 nan
