# U R=3 R=4 R=5 R=6 R=7
1.000000000000000000e+00 -6.569663152210507562e+00 -6.589606949984594841e+00 -6.599914543283834867e+00 -6.599959545204024280e+00 -6.601073634716475347e+00
1.684210526315789380e+00 -5.675070275426687516e+00 -5.726278519320415761e+00 -5.761434775019470322e+00 -5.762397501213763817e+00 -5.762403975766259734e+00
2.368421052631578760e+00 -4.856069066325154893e+00 -4.940473694256160009e+00 -5.019747946232161695e+00 -5.024354444557649124e+00 -5.024468605209933436e+00
3.052631578947368585e+00 -4.120227499078087163e+00 -4.230895008722960426e+00 -4.377144224581561716e+00 -4.393845920136541849e+00 -4.393849035447249918e+00
3.736842105263157965e+00 -3.482258409927456277e+00 -3.606291880836642427e+00 -3.834061797257725335e+00 -3.880529986880819848e+00 -3.880543748197607279e+00
4.421052631578946901e+00 -2.941028554105235227e+00 -3.083671098880574224e+00 -3.383808909855015923e+00 -3.498116455394472801e+00 -3.498149644313071516e+00
5.105263157894737169e+00 -2.486318308296712853e+00 -2.657187167448984422e+00 -3.021502325237912512e+00 -3.265724380990335796e+00 -3.262803836833651161e+00
5.789473684210526550e+00 -2.102599069807510102e+00 -2.306891611284862087e+00 -2.735664497913768312e+00 -3.188073132787351049e+00 -3.188272421611378693e+00
6.473684210526315930e+00 -1.777522407500390589e+00 -2.034242703333815960e+00 -2.517159495479417863e+00 -3.277569809624178987e+00 -3.277575361661464015e+00
7.157894736842105310e+00 -1.475122911355306599e+00 -1.836441566154444871e+00 -2.355527392489102922e+00 -3.521446033942694065e+00 -3.517569577009912685e+00
7.842105263157894690e+00 -1.204127427346466384e+00 -1.670406996746776507e+00 -2.245628402942862145e+00 -3.882663553910751020e+00 -3.882146409520588648e+00
8.526315789473684958e+00 -9.480355751255844510e-01 -1.565438801389183787e+00 -2.179129015453028728e+00 -4.341490091899378179e+00 -4.341476892930258735e+00
9.210526315789474339e+00 -6.992775927375625145e-01 -1.490143905817342684e+00 -2.150406006586788266e+00 -4.869405683384645300e+00 -4.869418506910086819e+00
9.894736842105263719e+00 -4.514095668977571307e-01 -1.439343185522908186e+00 -2.150542546439426772e+00 -5.463051586953421079e+00 -5.446112247592726163e+00
1.057894736842105310e+01 -1.982967271439761703e-01 -1.411388221610534899e+00 -2.187834595376690672e+00 -6.057470766304765775e+00 -6.057494901957538147e+00
1.126315789473684248e+01 6.603733442737613757e-02 -1.400515811187853288e+00 -2.248453731216111251e+00 -6.693879206382357339e+00 -6.693868884136257691e+00
1.194736842105263186e+01 3.396212370631808142e-01 -1.403337707755447639e+00 -2.331693913101513971e+00 -7.354808290321242836e+00 -7.348565857444958382e+00
1.263157894736842124e+01 6.286358347759648524e-01 -1.417038063723497388e+00 -2.435867751430489392e+00 -8.016976664512954542e+00 -8.016956651592971994e+00
1.331578947368421062e+01 9.394389007575458805e-01 -1.439883245639940412e+00 -2.556986681278388573e+00 -8.710044617721067084e+00 -8.695772298880736884e+00
1.400000000000000000e+01 1.282584023484091063e+00 -1.469905450007713554e+00 -2.705560075251009167e+00 -9.382395207189510700e+00 -9.382682172251548991e+00
