# Dist R=2 R=3 R=4 R=5 R=6 R=8 R=40
8.000000000000000444e-01 -1.084480646779615967e+02 -1.084629946896599080e+02 -1.084770732251272278e+02 -1.084926352689164872e+02 -1.085020175153702269e+02 -1.085242235694987016e+02 -1.086490313732869595e+02
8.666666666666666963e-01 -1.087365333975117352e+02 -1.087521566199574892e+02 -1.087723718189805027e+02 -1.087842224877217205e+02 -1.087944046739777377e+02 -1.088150157533194999e+02 -1.089442874135085759e+02
9.333333333333333481e-01 -1.089080744864635193e+02 -1.089264938834596563e+02 -1.089418211953381217e+02 -1.089529447465848335e+02 -1.089642070667160567e+02 -1.089847828299469796e+02 -1.091172205791573191e+02
1.000000000000000000e+00 -1.089950677279873190e+02 -1.090159930783764253e+02 -1.090307004531028667e+02 -1.090407520147879694e+02 -1.090538921716630227e+02 -1.090800015535363201e+02 -1.092103069409946841e+02
1.066666666666666652e+00 -1.090292535300892638e+02 -1.090521027936169816e+02 -1.090664947595505225e+02 -1.090765523861421826e+02 -1.090921941376332569e+02 -1.091137478370839347e+02 -1.092498640834126178e+02
1.133333333333333304e+00 -1.090302615875451266e+02 -1.090543595324573971e+02 -1.090671198874592136e+02 -1.090825064386051793e+02 -1.090983518324271131e+02 -1.091282521409389972e+02 -1.092551529259813634e+02
1.200000000000000178e+00 -1.090105911108312995e+02 -1.090356520205612725e+02 -1.090493409894777983e+02 -1.090637651530804106e+02 -1.090811666052670148e+02 -1.091110830376241552e+02 -1.092385634446651324e+02
1.266666666666666607e+00 -1.089790020990013772e+02 -1.090046889945096211e+02 -1.090220539370896944e+02 -1.090329095868520710e+02 -1.090508204228111850e+02 -1.090770842242482814e+02 -1.092092102335231942e+02
1.333333333333333481e+00 -1.089414153208909255e+02 -1.089673036681784595e+02 -1.089860880910875522e+02 -1.089988480574094183e+02 -1.090140874625645466e+02 -1.090409411914320543e+02 -1.091732062822832887e+02
1.399999999999999911e+00 -1.089046266524159705e+02 -1.089273820951352434e+02 -1.089473005202949025e+02 -1.089652255702765444e+02 -1.089746305540791269e+02 -1.090083561896016420e+02 -1.091359287471573651e+02
1.466666666666666785e+00 -1.088699992725355514e+02 -1.088874972708687778e+02 -1.089089414290002651e+02 -1.089269962212148357e+02 -1.089351170142674192e+02 -1.089706225546832741e+02 -1.090961591232984915e+02
1.533333333333333215e+00 -1.088343358417771185e+02 -1.088493550052875918e+02 -1.088726037344305553e+02 -1.088912033744340135e+02 -1.089090674691546354e+02 -1.089349914499273950e+02 -1.090590991734150066e+02
1.600000000000000089e+00 -1.088010919329151562e+02 -1.088141364306688104e+02 -1.088400396562562236e+02 -1.088583288347609397e+02 -1.088786022815031203e+02 -1.089031749249084271e+02 -1.090243231800782695e+02
1.666666666666666741e+00 -1.087705136453457300e+02 -1.087831966233162717e+02 -1.088146632011154651e+02 -1.088295575358883269e+02 -1.088532100664169917e+02 -1.088753953895694337e+02 -1.089920321042914821e+02
1.733333333333333393e+00 -1.087425881095908835e+02 -1.087571267358234905e+02 -1.087973369480529868e+02 -1.088054799063500582e+02 -1.088343892975808274e+02 -1.088531675208772498e+02 -1.089645292534284096e+02
1.800000000000000044e+00 -1.087171756356374601e+02 -1.087356314500838579e+02 -1.087829204449731577e+02 -1.087869314261567126e+02 -1.088237785051306048e+02 -1.088379189299771497e+02 -1.089407758008513980e+02
1.866666666666666696e+00 -1.086940300694624710e+02 -1.087178887885042542e+02 -1.087748693736169798e+02 -1.087742665740221213e+02 -1.088230229881583284e+02 -1.088313566693080219e+02 -1.089217523376268275e+02
1.933333333333333348e+00 -1.086729552505453142e+02 -1.087025724141677756e+02 -1.087702322998204920e+02 -1.087686564257090112e+02 -1.088322019452151324e+02 -1.088344574115754426e+02 -1.089078303620701291e+02
2.000000000000000000e+00 -1.086510558116220437e+02 -1.086902084251199483e+02 -1.087669872993726585e+02 -1.087749898665737618e+02 -1.088479645761747463e+02 -1.088488156815327983e+02 -1.089002060203491880e+02
2.066666666666666430e+00 -1.086360911423184064e+02 -1.086789315053726881e+02 -1.087657945354144005e+02 -1.087812775859919725e+02 -1.088670933561095922e+02 -1.088648928770740980e+02 -1.089013423838926826e+02
2.133333333333333304e+00 -1.086184901143713688e+02 -1.086689072043406128e+02 -1.087662682558385683e+02 -1.087937514920287470e+02 -1.088842081661717174e+02 -1.088834668656438112e+02 -1.089074560022714593e+02
2.200000000000000178e+00 -1.086049743160565981e+02 -1.086589343154454781e+02 -1.087673500985458332e+02 -1.088062073565161541e+02 -1.088992478662692349e+02 -1.088991040744695624e+02 -1.089185476830690362e+02
2.266666666666666607e+00 -1.085911745726835136e+02 -1.086484162921839527e+02 -1.087685513805255653e+02 -1.088171220297719799e+02 -1.089116656080882137e+02 -1.089093366723980552e+02 -1.089289846668099528e+02
2.333333333333333037e+00 -1.085781060804418985e+02 -1.086425014922351266e+02 -1.087697616554658993e+02 -1.088265044569665321e+02 -1.089219044432442161e+02 -1.089223586411007005e+02 -1.089403597828425205e+02
2.399999999999999911e+00 -1.085897793618378557e+02 nan                       -1.087708117523044820e+02 -1.088341954993546068e+02 -1.089300260194708585e+02 -1.089305402993576593e+02 -1.089490131097542758e+02
