# Dist R=2 R=3 R=4 R=5 R=6 R=8
8.000000000000000444e-01 -1.067190368195629873e+02 -1.067310678727850188e+02 -1.067356981209722733e+02 -1.067399563804093816e+02 -1.067399574384855185e+02 -1.067609022433417891e+02
8.666666666666666963e-01 -1.071021751303039764e+02 -1.071218740219469510e+02 -1.071205435808668511e+02 -1.071312906381903787e+02 -1.071397994222819676e+02 -1.071491457102648468e+02
9.333333333333333481e-01 -1.073418895263810811e+02 -1.073644571726308641e+02 -1.073692487009332979e+02 -1.073748523677321600e+02 -1.073885678877947072e+02 -1.073939379228492754e+02
1.000000000000000000e+00 -1.074881006533190799e+02 -1.075089027911657098e+02 -1.075136294240437422e+02 -1.075209234612210309e+02 -1.075348019813968250e+02 -1.075405649104621233e+02
1.066666666666666652e+00 -1.075642079571242391e+02 -1.075869057863279465e+02 -1.075914053495800857e+02 -1.076026979504935071e+02 -1.076153816083629096e+02 -1.076206159939360418e+02
1.133333333333333304e+00 -1.075963045044520214e+02 -1.076203744353521330e+02 -1.076247026887556189e+02 -1.076373016823465463e+02 -1.076510228843953456e+02 -1.076561234263714226e+02
1.200000000000000178e+00 -1.075997870570737831e+02 -1.076247918920445841e+02 -1.076391185891546911e+02 -1.076431489761934870e+02 -1.076603430770474858e+02 -1.076683568671719513e+02
1.266666666666666607e+00 -1.075854023045740604e+02 -1.076108131463812612e+02 -1.076265910046703311e+02 -1.076303152014967282e+02 -1.076498841279213252e+02 -1.076574999512046134e+02
1.333333333333333481e+00 -1.075605346327076717e+02 -1.075857691386054000e+02 -1.076032216212890518e+02 -1.076187788859277106e+02 -1.076287566379830736e+02 -1.076358261318319478e+02
1.399999999999999911e+00 -1.075363447481030619e+02 -1.075547220561888366e+02 -1.075740420835751792e+02 -1.075902313881334038e+02 -1.076020258962652321e+02 -1.076084138660562388e+02
1.466666666666666785e+00 -1.075061980898667144e+02 -1.075212892960645803e+02 -1.075426194507210482e+02 -1.075602203583952416e+02 -1.075736039481094792e+02 -1.075790551951102145e+02
1.533333333333333215e+00 -1.074744938473902920e+02 -1.074882524234918435e+02 -1.075116875455994432e+02 -1.075301533705101349e+02 -1.075464418440411976e+02 -1.075508645791252746e+02
1.600000000000000089e+00 -1.074430015403181500e+02 -1.074591895054688422e+02 -1.074851447279871337e+02 -1.075024141849210935e+02 -1.075231296896885596e+02 -1.075261197516037868e+02
1.666666666666666741e+00 -1.074122885122720987e+02 -1.074332250805063609e+02 -1.074709145198766862e+02 -1.074790058467497289e+02 -1.075064508671533616e+02 -1.075077153945266275e+02
1.733333333333333393e+00 -1.073826554585970143e+02 -1.074110441522505539e+02 -1.074576754657078936e+02 -1.074599999642109083e+02 -1.074989445617182895e+02 -1.074994050588933305e+02
1.800000000000000044e+00 -1.073542653406560561e+02 -1.073913382905518716e+02 -1.074488589522907631e+02 -1.074652364605559853e+02 -1.075022630206699858e+02 -1.075021817682295904e+02
1.866666666666666696e+00 -1.073272263600974270e+02 -1.073726908107771294e+02 -1.074440173908031824e+02 -1.074444751340670479e+02 -1.075162504896390629e+02 -1.075157699023974800e+02
1.933333333333333348e+00 -1.073015464595919042e+02 -1.073546363438242679e+02 -1.074430018103994229e+02 -1.074511651592687258e+02 -1.075366428848553682e+02 -1.075361087452503739e+02
2.000000000000000000e+00 -1.072773018640839382e+02 -1.073371528385201970e+02 -1.074473914118099458e+02 -1.074653330447408592e+02 -1.075578829482285101e+02 -1.075574442189518010e+02
2.066666666666666430e+00 -1.072544874200489176e+02 -1.073200891611504488e+02 -1.074532727948934081e+02 -1.074809235555106994e+02 -1.075767588274115809e+02 -1.075764862059519800e+02
2.133333333333333304e+00 -1.072332079999097516e+02 -1.073046918124913844e+02 -1.074591130753490802e+02 -1.074940579109832015e+02 -1.075923551797503990e+02 -1.075921420155624730e+02
2.200000000000000178e+00 -1.072131294254529053e+02 -1.072910220153724765e+02 -1.074640574784475575e+02 -1.075030719685369149e+02 -1.076048320590764860e+02 -1.076046667313813288e+02
2.266666666666666607e+00 -1.071946105786404786e+02 -1.072791914783648224e+02 -1.074679603658724005e+02 -1.075100860812314210e+02 -1.076146502407469256e+02 -1.076145325472801204e+02
2.333333333333333037e+00 -1.072071613682108904e+02 -1.072690318644402510e+02 -1.074708445123154803e+02 -1.075145877833869292e+02 -1.076223205644638767e+02 -1.076222021722483930e+02
2.399999999999999911e+00 -1.071922137228196164e+02 -1.072602580863232333e+02 -1.074729220078215519e+02 -1.075174499069690341e+02 -1.076282754005682420e+02 -1.076281657787107662e+02
