# U E_total
1.000000000000000000e+00 -1.471394770466737434e+01
1.157894736842105310e+00 -1.424294352659972240e+01
1.315789473684210620e+00 -1.378426978830059291e+01
1.473684210526315708e+00 -1.333807272615459993e+01
1.631578947368421018e+00 -1.290456522972259812e+01
1.789473684210526327e+00 -1.248403058495240714e+01
1.947368421052631415e+00 -1.207683407285140120e+01
2.105263157894736725e+00 -1.168346015256161152e+01
2.263157894736842035e+00 -1.130456351197175380e+01
2.421052631578947345e+00 -1.094101352378200609e+01
2.578947368421052655e+00 -1.059427179468803715e+01
2.736842105263157521e+00 -1.026634425804811279e+01
2.894736842105262831e+00 -9.959493544812966448e+00
3.052631578947368141e+00 -9.677720407232330402e+00
3.210526315789473450e+00 -9.434130119127239311e+00
3.368421052631578760e+00 -9.245929330682450598e+00
3.526315789473684070e+00 -9.148208287746411926e+00
3.684210526315789380e+00 -9.453886604625473922e+00
3.842105263157894690e+00 -1.622907321414361803e+01
4.000000000000000000e+00 nan
