# U E_total
8.000000000000000444e-01 -1.086597608480881121e+02
8.672413793103448398e-01 -1.089573224468631309e+02
9.344827586206896353e-01 -1.091313226474287603e+02
1.001724137931034431e+00 -1.092234418392903450e+02
1.068965517241379448e+00 -1.092619874118374241e+02
1.136206896551724022e+00 -1.092662445213994573e+02
1.203448275862069039e+00 -1.092492854215170865e+02
1.270689655172413834e+00 -1.092198983453327799e+02
1.337931034482758630e+00 -1.091839447505949607e+02
1.405172413793103425e+00 -1.091452996597183471e+02
1.472413793103448221e+00 -1.091064912082959637e+02
1.539655172413793238e+00 -1.090691417451357097e+02
1.606896551724137812e+00 -1.090342866750199988e+02
1.674137931034482829e+00 -1.090026151320434877e+02
1.741379310344827624e+00 -1.089746538776866203e+02
1.808620689655172420e+00 -1.089509059689030153e+02
1.875862068965517215e+00 -1.089319524816270217e+02
1.943103448275862011e+00 -1.089185065478299492e+02
2.010344827586206584e+00 -1.089113450437454702e+02
2.077586206896551602e+00 -1.089109271737043940e+02
2.144827586206896619e+00 -1.089166344963634572e+02
2.212068965517241637e+00 -1.089264118313878242e+02
2.279310344827586210e+00 -1.089377183181137525e+02
2.346551724137930783e+00 -1.089487410797829057e+02
2.413793103448275801e+00 -1.089586314282485660e+02
2.481034482758620818e+00 -1.089671564141929281e+02
2.548275862068965392e+00 -1.089743675596917996e+02
2.615517241379309965e+00 -1.089804188062983741e+02
2.682758620689654983e+00 -1.089854847944221348e+02
2.750000000000000000e+00 -1.089897289280730774e+02
