# U R=5 R=7 R=8 R=10 R=12 R=20
1.000000000000000000e+00 7.031394863657655647e-02 6.540748807772710227e-02 6.246274999440007414e-02 6.926952263869474991e-02 6.835217070952885610e-02 5.921512741114827449e-02
2.000000000000000000e+00 1.511115765052770121e-01 1.280969807438629149e-01 1.571061340349481639e-01 1.624849320214193094e-01 1.524128777797490453e-01 6.307897640864789102e-01
3.000000000000000000e+00 2.620557219437091301e-01 2.786707003575516484e-01 2.698063043851435805e-01 2.723747611076794417e-01 2.985190463016241802e-01 3.304540844385236986e-01
4.000000000000000000e+00 4.082113157337944886e-01 4.901557429150118494e-01 3.951907448497469222e-01 4.013499128658483128e-01 6.085735841624562159e-01 9.225174657049798332e-01
5.000000000000000000e+00 5.571882289240845942e-01 7.468037291799688449e-01 5.610013524991043221e-01 5.557149143530012436e-01 7.572103253444284476e-01 nan
6.000000000000000000e+00 6.936084962127221365e-01 9.260642318493919056e-01 7.574864125614916288e-01 6.592301296646073672e-01 1.373397193032632080e+00 nan
7.000000000000000000e+00 1.014184674957309573e+00 1.272552539818439854e+00 9.516403432408071517e-01 1.133137908874577215e+00 1.868027027527571704e+01 nan
8.000000000000000000e+00 1.142503066092552810e+00 1.562310744329281409e+00 1.075891067772480225e+00 4.185916935410672224e+00 nan nan
9.000000000000000000e+00 1.545194184949417071e+00 1.620830942145856879e+00 1.483266986962666234e+00 6.049211532290143190e+00 nan nan
1.000000000000000000e+01 1.087834012733184919e+00 1.868821688486420163e+00 2.155817690957559929e+00 nan nan nan
