# U R=5 R=7 R=8 R=10 R=12 R=20
1.000000000000000000e+00 3.452824978617419216e-02 5.013607662546392535e-03 2.651327548147033603e-03 2.499284622063821190e-04 6.071360970965007707e-05 5.441573540699791375e-06
2.000000000000000000e+00 1.329794462750532036e-01 1.868581021755904431e-02 3.792953548540809600e-02 7.085047754161710428e-04 4.039473544080948719e-04 2.588782585681938104e-05
3.000000000000000000e+00 2.812127032932194015e-01 1.753386186774650857e-01 9.457060376813516966e-02 2.617303399952888594e-03 1.482928669370051035e-03 8.938383145303570169e-05
4.000000000000000000e+00 4.351124053152418680e-01 2.962874102505318463e-01 1.822505714990443060e-01 2.234060381667229457e-03 9.076235954302446299e-03 3.260805602362812708e-04
5.000000000000000000e+00 5.505065628606035100e-01 3.960298879817708007e-01 2.463558446681066716e-01 1.062297179709306878e-02 1.118598669761476649e-02 nan
6.000000000000000000e+00 6.273047383123275811e-01 4.616456397757853214e-01 2.934492314094880316e-01 3.164519194547921188e-02 4.573948965854050808e-02 nan
7.000000000000000000e+00 4.616976735239364804e-01 5.081240791176702132e-01 3.243060074588846042e-01 3.181396924275047694e-02 5.605771802924507108e-02 nan
8.000000000000000000e+00 4.744572523733880942e-01 4.758273991746620468e-01 3.483639558472231279e-01 7.658463292638241493e-02 nan nan
9.000000000000000000e+00 5.076687680065765651e-01 5.440873756356143787e-01 3.887924456856964306e-01 1.002603544998774687e-01 nan nan
1.000000000000000000e+01 7.761506443195866911e-01 4.832162316399499780e-01 3.817203642240801220e-01 nan nan nan
