# U R=5 R=7 R=8 R=10 R=12 R=20
1.000000000000000000e+00 -1.055575340209514401e+01 -1.059377090586253445e+01 -1.060563176174717093e+01 -1.061358488728578209e+01 -1.061387410816942456e+01 -1.061400412336923793e+01
2.000000000000000000e+00 -8.417276432955310028e+00 -8.528954189364176486e+00 -8.565516994226824110e+00 -8.626050495006298391e+00 -8.631081526148790317e+00 -8.633930764618352072e+00
3.000000000000000000e+00 -6.600154721728316076e+00 -6.731145095906050813e+00 -6.831559206525492201e+00 -6.989961456402875584e+00 -7.023010065599301299e+00 -7.054089197731871153e+00
4.000000000000000000e+00 -5.152803013754402528e+00 -5.297827972147453046e+00 -5.415925771606621808e+00 -5.714681097477921412e+00 -5.841573200822450573e+00 -6.133432250601060787e+00
5.000000000000000000e+00 -3.995703987179083150e+00 -4.194081017570098879e+00 -4.315218125890957879e+00 -4.767260103986682651e+00 -5.279396718610930961e+00 nan
6.000000000000000000e+00 -3.008660025500364377e+00 -3.361100576474296275e+00 -3.489543847365331075e+00 -4.089445713118358583e+00 -5.393722018026390508e+00 nan
7.000000000000000000e+00 -4.794570317566027029e-01 -2.750528410704308868e+00 -2.836662209261576528e+00 -3.577808131161628324e+00 -6.551965189157057168e+00 nan
8.000000000000000000e+00 5.784685486708855962e-01 -1.624375696302106320e+00 -2.328796348865907362e+00 -3.514367987571457519e+00 nan nan
9.000000000000000000e+00 1.568507558976905081e+00 -1.616300107318279444e+00 -1.989498971098504043e+00 -3.871763140691856009e+00 nan nan
1.000000000000000000e+01 2.285541712909733292e-02 -9.321223346166664925e-01 -1.583796104031955920e+00 nan nan nan
