# U R=7 R=14 R=21 R=28
2.000000000000000000e+00 -1.164279082859670922e+01 -1.192836640463827358e+01 -1.193984611921828254e+01 -1.194300993554602286e+01
2.388888888888888840e+00 -1.060312069606444041e+01 -1.097436615415459116e+01 -1.100162766171792583e+01 -1.101106666730416528e+01
2.777777777777777679e+00 -9.645351721045695825e+00 -1.009044785977475378e+01 -1.014833614120040117e+01 -1.017538059020704821e+01
3.166666666666666963e+00 -8.765047092204559576e+00 -9.276113749494024674e+00 -9.394310100643124883e+00 -9.470848997335213681e+00
3.555555555555555358e+00 -7.959668489252065271e+00 -8.513669228229785446e+00 -8.718452067371400105e+00 -9.054594810924410098e+00
3.944444444444444642e+00 -7.217509263374729755e+00 -7.840240201249265795e+00 -8.269699782596285687e+00 nan
4.333333333333333925e+00 -6.527615414940322047e+00 -7.189887738692883445e+00 -8.047837681277870914e+00 nan
4.722222222222222321e+00 -5.910653576192237857e+00 -6.582115355271295876e+00 nan nan
5.111111111111110716e+00 -5.310687457705586922e+00 -6.028561857705458493e+00 nan nan
5.500000000000000000e+00 -4.682514381837486361e+00 -5.544393475569373564e+00 nan nan
