# U R=3 R=4 R=5 R=6 R=7 R=12 R=18
1.000000000000000000e+00 -6.569663158492574873e+00 -6.589607235766408166e+00 -6.599914539805743274e+00 -6.601075620012081480e+00 -6.601068914957415323e+00 -6.601076290777363020e+00 -6.601076665957560152e+00
2.444444444444444642e+00 -4.770074114135156584e+00 -4.857445441805755770e+00 -4.943832580446044567e+00 -4.948926985604920503e+00 -4.948925292550506505e+00 -4.948932660609431267e+00 -4.948918901697472172e+00
3.888888888888888840e+00 -3.137600996921605656e+00 -3.480941891474791383e+00 -3.726235777855228637e+00 -3.783675862764562137e+00 -3.783728557742551235e+00 -3.783682305188474704e+00 -3.783682499259638732e+00
5.333333333333333037e+00 -1.897910360118566730e+00 -2.532653046604722569e+00 -2.915399861160698602e+00 -3.219635943520307020e+00 -3.219762412333645685e+00 -3.219642337445220104e+00 -3.219642583093994759e+00
6.777777777777777679e+00 -1.049594623000036808e+00 -1.944348135225336449e+00 -2.439131383970265965e+00 -3.366987663703402411e+00 -3.366983870883867525e+00 -3.366984483882080603e+00 -3.366984384400371511e+00
8.222222222222221433e+00 -5.013229556098064421e-01 -1.609884544335040246e+00 -2.203836868151834771e+00 -4.127466996675261512e+00 -4.127443258472281329e+00 -4.127442001247024095e+00 -4.127442467497115075e+00
9.666666666666666075e+00 -1.432894956684291898e-01 -1.453204728919117450e+00 -2.144427103682707170e+00 -5.249135442524966777e+00 -5.249353109251037708e+00 -5.249436257844015685e+00 -5.249436650295780993e+00
1.111111111111111072e+01 6.543533273431378916e-03 -1.401662239615056649e+00 -2.233129998814783690e+00 -6.549806395438244166e+00 -6.550665747212386592e+00 -6.550672572973130769e+00 -6.550672057185265018e+00
1.255555555555555536e+01 5.703677549893804155e-01 -1.415150883076234933e+00 -2.418133896902482149e+00 -7.941897639556968258e+00 -7.942122799936649713e+00 -7.942125624790547178e+00 -7.942125935339332088e+00
1.400000000000000000e+01 7.572214804335217764e-01 -1.469915266672479959e+00 -2.685610231519140356e+00 nan nan nan nan
