# Dist R=2 R=4 R=5 R=6 R=8
8.000000000000000444e-01 -1.084426198256323488e+02 -1.084770048718983730e+02 -1.084877736466382601e+02 -1.084995467997822090e+02 -1.085186078483835104e+02
9.357142857142857206e-01 -1.089031377284326965e+02 -1.089428481365279708e+02 -1.089554748144181247e+02 -1.089648516875617048e+02 -1.089891096539246718e+02
1.071428571428571619e+00 -1.090205121640002943e+02 -1.090619824244808882e+02 -1.090797373616523345e+02 -1.090922282849894032e+02 -1.091152646598868614e+02
1.207142857142857295e+00 -1.089960700994613489e+02 -1.090464118915014353e+02 -1.090619939305217230e+02 -1.090751670306649856e+02 -1.090947821010741166e+02
1.342857142857142971e+00 -1.089221249538959881e+02 -1.089777061833825371e+02 -1.089948586830779504e+02 -1.090065344654766477e+02 -1.090385829168963738e+02
1.478571428571428648e+00 -1.088403255691076765e+02 -1.088993476508264706e+02 -1.089177015312051537e+02 -1.089335800646309451e+02 -1.089612060543697680e+02
1.614285714285714324e+00 -1.087707676213791359e+02 -1.088293029827091516e+02 -1.088488052144033276e+02 -1.088685945562707218e+02 -1.088935876203767776e+02
1.750000000000000222e+00 -1.087158269857779658e+02 -1.087896555307444686e+02 -1.087962502370084366e+02 -1.088266517688066699e+02 -1.088446952183400356e+02
1.885714285714285898e+00 -1.086719488060286665e+02 -1.087691106848678118e+02 -1.087851799234593813e+02 -1.088195906040089795e+02 -1.088202643576102986e+02
2.021428571428571352e+00 -1.086362017041501247e+02 -1.087624109241522490e+02 -1.087698065899512727e+02 -1.088499001629676002e+02 -1.088501010251388550e+02
2.157142857142857473e+00 -1.086061848762471129e+02 -1.087739566251351135e+02 -1.088052506706323470e+02 -1.088852773869000146e+02 -1.088856774531199960e+02
2.292857142857143149e+00 -1.085802693607270442e+02 -1.087650295905725244e+02 -1.088212030324079649e+02 -1.089113922325774553e+02 -1.089124081405319657e+02
2.428571428571428825e+00 -1.085574349713808715e+02 -1.087948729628738960e+02 -1.088367868434821588e+02 -1.089275556582559830e+02 -1.089281711296164019e+02
2.564285714285714501e+00 -1.085626369602773451e+02 -1.088001940786063386e+02 -1.088423205381173346e+02 -1.089375937593949857e+02 -1.089390625398986998e+02
2.700000000000000178e+00 -1.085455816227741934e+02 -1.088032952152302073e+02 -1.088451640079347271e+02 -1.089451278525585707e+02 -1.089459223232802856e+02
