# Dist R=2 R=4 R=5 R=6 R=8
8.000000000000000444e-01 -1.067323318626949060e+02 -1.067323258236997248e+02 -1.067323233542346372e+02 -1.067323208467954743e+02 -1.067323216116181044e+02
9.357142857142857206e-01 -1.073729641142775364e+02 -1.073729794527234134e+02 -1.073728062488094110e+02 -1.073729893736139900e+02 -1.073729840098130239e+02
1.071428571428571619e+00 -1.075925221563303325e+02 -1.075922963211128121e+02 -1.075923692728350147e+02 -1.075919184059399072e+02 -1.075922974356131903e+02
1.207142857142857295e+00 -1.075963118889881684e+02 -1.076255558605841571e+02 -1.076254421464603439e+02 -1.076252778450856340e+02 -1.076258272292222387e+02
1.342857142857142971e+00 -1.075608846564101100e+02 -1.075953990783605718e+02 -1.075953919109744135e+02 -1.075962735663576950e+02 -1.075608932399000253e+02
1.478571428571428648e+00 -1.075327320295321130e+02 -1.075325525132192297e+02 -1.075189573104679113e+02 -1.075296965018165167e+02 -1.075076943921218202e+02
1.614285714285714324e+00 -1.074810337104514417e+02 -1.074570530192859650e+02 -1.074570529294867072e+02 -1.074810293226446589e+02 -1.074810245989334163e+02
1.750000000000000222e+00 -1.074547403763007623e+02 -1.074150712764793099e+02 -1.074544769314127990e+02 -1.074545270288492844e+02 -1.074150712584883536e+02
1.885714285714285898e+00 -1.074370608175420188e+02 -1.074373018510786721e+02 -1.073962582077914476e+02 -1.074370608969328345e+02 -1.074371230075206114e+02
2.021428571428571352e+00 -1.074233590515017198e+02 -1.073816766671695291e+02 -1.074451524693001261e+02 -1.074321023929220189e+02 -1.074233883189896943e+02
2.157142857142857473e+00 -1.074568518021661561e+02 -1.072913765228914684e+02 -1.074310417367878898e+02 -1.072912926710709485e+02 -1.074127651370205285e+02
2.292857142857143149e+00 -1.073803268100662791e+02 -1.074650747712678225e+02 -1.074650758524851000e+02 -1.074650761778093937e+02 -1.074650762049993631e+02
2.428571428571428825e+00 -1.074694919520947138e+02 -1.074218486582982877e+02 -1.074694806738168751e+02 -1.074694950693489233e+02 -1.074694789832059598e+02
2.564285714285714501e+00 -1.074713743170962488e+02 -1.074713732013551919e+02 -1.074713742041515303e+02 -1.074713934549923522e+02 -1.074713731800364087e+02
2.700000000000000178e+00 -1.074718856907754372e+02 -1.074718866542445994e+02 -1.074718857356553059e+02 -1.074718857396575942e+02 -1.074718855959143013e+02
